

Observed catches

Species: Cod        



Yield          37577     54641     51795     54026     49106     40687     40764     40757


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0         0         0         0         0         0         0         0         0
         1      9995      4666      3234     10118      2942      4873     11725      3008
         2     10711     15319      6977      5054     15043      3435      7038      4047
         3      5810      6869      8754      4504      4337      6905      1919      2039
         4      1768      2113      3408      3987      2186      1092      1484       692
         5      1345       800      1044      1756      1784       933       421       584
         6       337       648       279       395       780       488       269       110
         7        64       159       188        95       282       329       118       107
         8        38        27        44        79        67        81        45        25
         9         6         9         9        24        47        60        11        23
        10         2         3         6        11        25         8        11         5

Yield          45192     49900     50310     46369     47904     35390     23607     18228
Species: Whiting    



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0    236214    238839    425081    666975    687238    476383    332209    516869
         1    755217    954765    479081   1004731    418909    615525    265359    162899
         2    976000    403599   1119601    474222    313391    467538    416009    346343
         3    226168    295629    163420    268897    242369    218283    286077    266518
         4     31516     53896     79425     29031     90047    100976     90719    102295
         5      4660      8792     14188     20033      7564     29267     52969     27776
         6      1163      7524      2733      5225      9692      5072     12672     16164

Yield         319955    275667    325609    289306    188049    244055    223016    192209


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0    101057    668604    157819    186723    225202     84863    416924     87325
         1    192641    205647    323408    203321    576732    267051    430344    331672
         2    114443    184747    175965    141716    167078    368230    307429    173676
         3    245247    118411    124886     82037    169578    122748    179503    191942
         4     88137    131507     49504     37847     46516     85240     39635     78464
         5     26796     37231     59817     14420     13368     11391     17902     14367
         6      9475     11397     17437     21679      8031      6518      2886      5903

Yield         140246    161686    145646    100207    161469    138906    133010    123530


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0    289174   1057999    259390    628301    218287   1597900     96515     19001
         1    258102    135797    230302    223424    191544    148169     86318     60946
         2    501373    194921    167479    172049    158369    144023    118910     80471
         3    127967    184960     87820    125599     97559    112416     99644     84336
         4     84147     36290     91081     46181     51041     35649     48304     41975
         5     31102     25554     11654     45300     18683     15061     14087     18303
         6      2761      6132      9292      6152     19677     10058      7015      4801

Yield         152969    126467    108738    116871    101628    106220     76090     61475


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0     72289     76975      1970     18012    135848     60744     34210     17622
         1     92556    189162     82546     52567     51338     83680     47966     47805
         2     50362     95415    129582     83085     62462    111144     23009     34626
         3     43424     45920     63706     52076     84600     55866     32557     12204
         4     36295     33921     23913     20800     34659     41841     30400     18146
         5     17628     18271     16199      9256      8099     14217     21755     14931
         6      8166     10136     14330      8327      4263      3228     10002     12673

Yield          47405     60836     63908     45177     46412     45646     33564     28873


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0     15673      2490      5631     12139      3930      3563      3548      4341
         1     73908     39041     62163     57412     33756     31377     53445     20378
         2     42199     34001     28301     31004     33320     42201     32509     15548
         3     21651     24900     22741     15181     25516     28903     18882     25362
         4      8642      9906     13571     12782      9932     12537     14862     15593
         5     15077      4008      4305      7432      7776      3813      6952     10812
         6     17896     16043      8752     11923     15324      7942      6702      5986

Yield          36746     26968     28251     28362     34441     30673     30224     26639


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0      6225      7705     17208     28724     15656      4515     26813     35094
         1     29785     48349     27639     27355     17302     29380     41940     27281
         2     14623     53345     36165     27315     41274     24143     32019     57391
         3     17450     15714     36788     24442     26023     39669     29992     21520
         4     19683     10220      9129     18432     17040     17364     19892     12296
         5     11351     14163      7813      4176      6786      7151      6596      8836
         6      8838      9376     10355      7649      3490      5054      3129      4318

Yield          28373     36255     33371     29348     28438     30510     34996     33193
Species: Haddock    



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0    665110     51796    171400    119506    281785    844410    374573    645352
         1   1283252   2276937    192030    263702    223294    261156    439674    116229
         2    187149    673960   1127520    109480    130963    220200    374310    430149
         3    342628     62175    225532    426291     31141     45487     80225    180553
         4     60523    112242     11538     45756    144703      7978     11364     17044
         5      1956     17691     32677      4984     11791     38097      2040      2225
         6      1795      1078      5864      6757      1582      3069     11143       497
         7     22380       718       228      1608      2322       377       827      3320
         8       345      6168        84       163       740       629       143       164
         9        57       339      1863        40       122       181       168        78
        10        78        89        72       469       325       126       147        69

Yield         396271    494728    402849    240340    146706    149064    202451    226485


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0    275508    513034     95862    127002     45703     10249     16679     19587
         1    217834    148158    483045    161400    137091    253236     33092     51743
         2     89989    222772    139887    441785    144075    259369    424014     43162
         3    390347     83199    143821     80605    328016     56407     96795    216359
         4     49835    166812     29321     41508     29497     92705     17161     21015
         5      4275     20055     56077      7082     10595      6214     27728      4189
         6       820      2365      6238     18393      1686      3993      2030      7671
         7       551       338       967      1929      4421      1187       874       763
         8      1072       255       127       296       581      2596       368       285
         9        60       385        84        56       156       462      1076       170
        10        40       123       211       183       161       213       159       552

Yield         256108    253230    247089    247098    223727    194995    179974    127719


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0     19286    128703    277933    136841     89104    200150    167032     36954
         1     82571    188087    166550    302610     91674    336460     46797    162449
         2     78881    101425    255051    269220    339428    119210    505401    107657
         3     17811     24822     43257    123469    106673    182969     73987    251339
         4     60888      4706      7162     11822     35056     33802     66245     18037
         5      4373     17618      1486      1986      3381      9237     11159     18288
         6      1104      1388      6376       669       601       898      4058      2762
         7      1839       684       611      2050       366       161      1080       937
         8       254      1024       337       215       746       155        75       121
         9       100       171       401       210       132       151        72        16
        10        85        91       180       280       115        39        58        33

Yield          86748     97264    135185    180218    169436    168928    204683    170009


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0     21919     90634     12630      3518     50927      7082      3758      8779
         1     88387     69455    397390     95086     36063     13136     25698     17695
         2    224037    119094    110381    633162     99685     15234     24627     24596
         3     60861    110046     61263     34548    372036     48729      8958     15085
         4    128348     28510     33137     12078      7812    127241     38784      5446
         5      7110     45221      7254      5573      2801      2166     97827     27745
         6      4590      2700      9935      2094      1615       786      1010     61457
         7       850      2047       765      1611       729       339       248       371
         8       263       438       367       257       603       144        82       132
         9        60        53        53        89       283       100        42        38
        10        23        17        18        35        38        55        50        23

Yield         161929    123489    126823    173366    155333     74350     72513     64115


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0      3229      2046      2550     27313      2508      5024      1377      1303
         1    122537     20565     25087     11967     49728      4342      3879     12258
         2     30995    171600     35038     13754     14174     64649      5072      4251
         3     20657     16796     80164     18495     17429     12999     66385      4651
         4     11284      8187      4156     77722     11677      7402      5431     68803
         5      6078      4782      2093      1904     37295      5791      3697      2216
         6     16415      2237      1354       759       833     20830      2414      1532
         7     32978      6876       552       563       379       450      8051       840
         8       156      7254      1577       133       142       119       137      3919
         9        56        75      2473       242        78        70       176        36
        10        32        26        11       555       256       107       135        20

Yield          66967     67425     49900     46492     41304     42868     42920     46685


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0      3504      3776      1701      2615      3632      3554      1540      6813
         1      7593     27610      9374     12732      5556     17834     45286     24198
         2     20031     15630     61656     23207     24263     11844     27157     72275
         3      4690     17723      8846     54472     17121     25773     11930     13536
         4      7647      1719      5556      3228     35201      7208     14636      5768
         5     46684      5013       655      1498       925     21282      3281      8346
         6      1080     21935       451       144       522       462      7953       767
         7       962      1062     10138       367       210       378       178      4727
         8       371       434       253      1442       100        25       164        45
         9      1694       437       151       502       970        31        62        31
        10        23       894       168        30        28       165        81         5

Yield          45915     41475     42943     40861     39694     36305     38944     44128
Species: Saithe     



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0         0         0         0         0         0         0         0         0
         1         0         0         0         0         0         0         0         0
         2         0         0         0         0         0         0         0         0
         3    104086     88613    323156     42701     54515     25395     27203     40705
         4     40345     30927     63447     65727     32608     16999     14757      9971
         5     15160     11077     12556     15839     19389     12004      9677      7235
         6     21179      7746      6401      5620      3390      8906      6878      3763
         7     14810     13792      4016      3814      1149      2833      5714      3368
         8      5321      9577      5488      3528      1057       750      1177      3475
         9      1514      3591      3678      3909       788       554       522       674
        10      1977      2717      3528      4753      3522      2112      2327      2564

Yield         341457    308362    432832    242626    179361    144250    146784    150025


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0         0         0         0         0         0         0         0         0
         1         0         0         0         0         0         0         0         0
         2         0         0         0         0         0         0         0         0
         3     49595     43916    125848    208401     86198     48545     50657     34408
         4     48533     24637     38470     66489    109080    116551     31577     36772
         5      9848     27924     13910     14257     16302     15019     37919     14156
         6      6120      5813     13320      4878      5509      3233      3918     11211
         7      2166      4942      1673      3034      2629      1829      1927      1572
         8      1489      1529      1281       698      1490      1269      1130       757
         9      1007      1062       344       409       457       933       796       430
        10      1268      1342       653       750       910       707       687       493

Yield         205438    205616    245308    280080    236972    195418    156418    126442


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0         0         0         0         0         0         0         0         0
         1         0         0         0         0         0         0         0         0
         2         0         0         0         0         0         0         0         0
         3     63454     71710     28617     58813     31034     41461     17208     23380
         4     23416     35719     40193     24905     48062     31130     46468     23077
         5     12154      8016     13691     12715     13992     15884     12653     32395
         6      4826      3669      3269      3199      4399      3864      7915      3763
         7      2803      1733      1539      1583       957      3529      3194      2666
         8       762       976       712      1547       354       690       827      1036
         9       288       376       531       835       438       566       215       299
        10       368       463       426      1037       803       809       496       292

Yield         126902    133739    117430    135112    128816    143477    130551    121523


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0         0         0         0         0         0         0         0         0
         1         0         0         0         0         0         0         0         0
         2         0         0         0         0         0         0         0         0
         3     16113     14661     10985     24961     17570     28296     13642     12690
         4     37088     16588     20680     21100     37489     31752     24479     15473
         5     17570     28645      9597     24068     14736     20631     15649     19060
         6     16459      8588     12632      3429     13731      6836     15220     20042
         7      2253     10169      3190      3621      2309      6855      2037      7956
         8      1234      2401      3302      1814      2544      1535      2164      1628
         9       581       914       657      1655      1321      2000      1300      1188
        10       280       665       446       248      1575      2042      1066      1151

Yield         118480    120395     94676    104100    129849    121658    113792    119234


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0         0         0         0         0         0         0         0         0
         1         0         0         0         0         0         0         0         0
         2         0         0         0         0         0         0         0         0
         3     17313     24614      7620      7438      8766     12786     14334      7267
         4     31972     13314     30911     15507      9249     24269     13053     30318
         5     10381     20919     12540     14222      9440      8980     16948      5312
         6     11286      7175     14941      5847      6511      3674      4075      7869
         7      8395      5564      5088      8512      2671      2867      1977      1890
         8      3824      3610      3285      2994      4773      1208      1268      1241
         9      1008      1218      3551      1519      1679      1564       541       616
        10      1281       930      3118      2945      2707      3877      2611      1658

Yield         128711    106333    129887    114519    104723    102008     87049     87270


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0         0         0         0         0         0         0         0         0
         1         0         0         0         0         0         0         0         0
         2         0         0         0         0         0         0         0         0
         3      4055      8369      7382      4977      2603      6240      2511      6129
         4     14322      8323     14241     18989     16250      8570     11823      6236
         5     15195     14259      9661      9773     18858     14841      7627      4910
         6      3957      8254      5729      6247      7376     10394      7436      2899
         7      4124      1862      2758      5364      2142      2881      4246      2924
         8      1040      1623      1430      1876      2027      1127       967      1061
         9       429       715       853       820       978      1027       381       347
        10      1389       977      1317      1113      1178      1236       627       695

Yield          82172     81447     77671     94585     95446     96646     76820     50951
Species: Mackerel   



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0     47193     58101     23003      7828     18239     42791     33101     56682
         1     59872    185902    189916     50361     27405     65011    411327    276229
         2     42351    111305    286783    196229     83212     46101    393025    502365
         3    229149     81870    178547    308123    337155    145558     64549    231814
         4    106140    381741    113176    165316    456229    508242    328206     32814
         5    172897    116325    347170     68938    161034    452445    254172    184867
         6    423507    205249    114589    229059     72738    172981    142978    173349
         7    209284    412438    165866     62023    198267     64098    145385    116328
         8    104642    206219    337234     90837     54319    176780     54778    125548
         9     52321    103110    168617    184687     79554     48432    130771     41186
        10     45781     90221    147540    161601    283058    287259    201057    377440

Yield         604750    780518    826864    619776    735619    840578    733063    750656


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0     11180      7333    287287     81799     49983      7403     57644     65400
         1    213936     47914     31901    268960     58126     40126    152656     64263
         2    432867    668909     86064     20893    424563    156670    137635    312739
         3    472457    433744    682491     58346     38387    663378    190403    207689
         4    184581    373262    387582    445357     76545     56680    538394    167588
         5     26544    126533    251503    252217    364119     89003     72914    362469
         6    138970     20175     98063    165219    208021    244570     87323     48696
         7    112476     90151     22086     62363    126174    150588    201021     58116
         8     89672     72031     61813     19562     42569     85863    122496    111251
         9     88726     48668     47925     47560     13533     34795     55913     68240
        10    275416    201037    136770    162224    136910    108551     91382     81946

Yield         716385    671927    633027    609877    600246    654429    677317    582714


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0     24246     10007     43447     19354     25368     14759     37956     36012
         1    140534     58459     83583    128144    147315     81529    119852    144390
         2    209848    212521    156292    210319    221489    340898    168882    186481
         3    410751    206421    356209    266677    306979    340215    333365    238426
         4    208146    375451    266591    398240    267420    275031    279182    378881
         5    156742    188623    306143    244285    301346    186855    177667    246781
         6    254015    129145    156070    255472    184925    197856     96303    135059
         7     42549    197888    113899    149932    189847    142342    119831     84378
         8     49698     51077    138458     97746    106108    113413     55812     66504
         9     85447     43415     51208    121400     80054     69191     59801     39450
        10     77533    153568    145773    136078    135580    120154     74804     65659

Yield         624046    674986    758475    823385    817922    755210    561267    570291


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0     61127     67003     36345     26034     70409     14744     11553     12426
         1     99352     73597    102407     40315    222577    187997     31421     46840
         2    229767    132994    142898    158943     70041    275661    453133    135648
         3    264566    223639    275376    234186    367902     91075    529753    668588
         4    323186    261778    390858    297206    350163    295777    147973    293579
         5    361945    281041    295516    309937    262716    235052    258177    120538
         6    207619    244212    241550    231804    237066    183036    145899    121477
         7    118388    159019    175608    195250    151320    133595     89856     63612
         8     72745     86739    106291    120241    118870     94168     65669     38763
         9     47353     50613     52394     72205     79945     75701     40443     23947
        10     63869     79857     84400    103781    105680    102638     71593     37236

Yield         662343    636297    736472    735748    770238    678030    684412    549854


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0     75651     19302     25886     17615     23453     30429     23877     11325
         1    149425     88439     59899     36514     78636     62748     66370     47077
         2    173646    190857    167748    113574    137351    115701    204121    235494
         3    159455    220575    399086    455113    304647    323847    216711    400036
         4    470063    215655    284660    616963    740816    471564    417953    371713
         5    195594    455131    260314    319465    613418    656507    458718    445515
         6     97061    203492    255675    224848    285438    490219    514489    433533
         7     73510     77859    124382    194326    143537    244725    325982    340686
         8     33399     59652     57297     73171    102446    113277    143643    190660
         9     18961     30494     32343     29738     45963     53512     69962    113220
        10     32507     40256     35861     27462     36069     48195     54138     83184

Yield         478373    588318    622041    738620    879073    950185    900343    939365


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0     62142      6732       716     28306      6995      6236      6443      2332
         1     44558    104282     57466     43763     40332     41921     52637     29202
         2    138880    127940    205840     89101    236207    126073    107302    326976
         3    672022    250575    258176    461621    136779    350611    182163    217298
         4    832975    583694    427212    353230    376312    114606    266760    281925
         5    568835    651786    593046    398273    257069    295731    166627    366644
         6    554367    453084    534943    505073    294539    226640    270154    182783
         7    506804    416897    341408    432242    424715    229725    246268    300014
         8    341618    356936    270586    262799    316779    267491    274182    208961
         9    142398    206045    170574    189449    197761    204818    311215    228236
        10     99495    157549    153186    248764    283700    244885    549772    445241

Yield        1403481   1222450   1102656   1159211   1022963    839839   1039503   1081666
Species: Herring    



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0    996100    263800    238200    256800         0         0   1262700   9519700
         1    846100   2460500    126600    144300         0         0    245100    872000
         2    772600    541700    901500     44700         0         0    134000    284300
         3    362000    259600    117300    186400         0         0     91800     56900
         4    126000    140500     52000     10800         0         0     32200     39500
         5     56100     57200     34500      7000         0         0     21700     28500
         6     22300     16100      6100      4100         0         0      2300     22700
         7      5000      9100      4400      1500         0         0      1400     18700
         8      3100      4800      1400       700         0         0       500      6600

Yield         266013    253937    159255     39314         0         0     73450    208745


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0  11956700  13296900   6973300   4211000   3724700   8229200   3164800   3057800
         1   1116400   2448600   1818400   3253000   4801400   6836300   7867000   3145900
         2    299400    573800   1146200   1326300   1266700   2137200   2232500   1593700
         3    230100    216400    441400   1182400    840800    667900   1090700   1363800
         4     33700    105100    201500    368500    465900    467100    383700    809300
         5     14400     26200     81100    124500    129800    245800    255800    211800
         6      6800     22800     22600     43600     62100     74700    128100    123700
         7      7800     12800     25200     20200     20500     23800     38000     61000
         8      4700     23100     29700     29200     28400     16200     23800     28200

Yield         277070    430216    460933    659339    752731   1008725   1140874    910318


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0   1302800   2386600  10331300  10265400   4498900   7438469   2311226    431175
         1   3020000   2138900   2303100   3826800   1785200   1664874   1606393    479702
         2    899300   1132800   1284900   1176300   1783200   1444061    642084    687920
         3    779100    556700    442700    609000    489100    816703    525601    446909
         4    861000    548900    361500    305500    347600    231794    172099    284920
         5    387500    501200    360500    215600    109000    118536     57586    109178
         6     80200    205300    375600    226000     91800     55128     22534     31389
         7     54400     39300    152400    188000     76400     41409      9264     11832
         8     40700     38600     62500    129000    116600     98200     21143     24467

Yield         739056    685045    764432    687902    597208    595417    274372    264056


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0    259526   1566349   1105085   1832691    730279    369074    715597   1015554
         1    977680    303520   1171677    614469    837557    617021    206648    715547
         2   1220105    616354    622853    842635    579592   1221992    447918    355437
         3    537932   1058716    463170    485628    970577    529386   1366155    485676
         4    276333    294066    646814    278884    292205    835552    543376   1318373
         5    175817    135648    213466    321743    140701    244780    753231    479949
         6     88927     69299     82481     90918    174570    107751    169324    575851
         7     15232     27998     35706     38252     48908    123291    104945    115164
         8     20550     12228     17087     20602     43322     46715     97142    147099

Yield         380193    369622    421779    363691    390438    487432    589576    665396


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0    877424    602739    798284    610704    507246    713025    605348    461571
         1    222111    235554    235022    175923    281271    159504    284906    413000
         2    401087    218967    331630    259434    286663    367693    455227    324813
         3    310630    412199    184596    106738    233317    274131    673038    484367
         4    465003    283242    198735     93321    123440    217912    403547    570925
         5    998521    308264    137375     86137     83294    129656    306234    421777
         6    253054    627576    118187     37951     62859     62800    149714    326590
         7    248522    147076    215178     53131     33995     51862    104461    145197
         8    106987    155525    117188    143131    114358    125138    190636    312347

Yield         513247    406368    258713    168589    186255    224049    434509    511220


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0   1270741    537720   1583568    413100   1105000    349600   1723500    495800
         1    370591    394878    109136    209300     73200    166700    112100    112400
         2    382990    551801    625483    108700    206300    106100    548400    407000
         3    386200    247555    818585   1065000    197000    307200    215400    419800
         4    617040    282812    293372    825300   1158900    198000    292000    179200
         5    487582    461041    280451    219900    830900    702500    146000    266000
         6    284562    432035    367843    143700    217600    519400    515600    118200
         7    191729    271280    307347    173100    142000    133900    349300    320300
         8    214513    337811    359076    214900    325700    199700    176800    290300

Yield         518042    494949    563618    490975    591798    432123    427687    374908
Species: N.sandeel  



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0   9979300   9281900   6125600   3067200   7820200  44202900   8348800   9128000
         1  20234200   7259600   6345200  27162200   7127900   3645300  14566800   5851000
         2   1399200   5354700   1213500   3263800   2645100   1760700   9078900   4203000
         3   1435500   1509200    812800    658200    611400    308400   1069000    918000
         4    362800    335200    191700    285100    145400     21300    834800    180000

Yield         220388    196585    110245    271729    133700    202374    303285    152257


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0   7202904   7680652         0    511289   8843341     20528  12532153   2718416
         1   3778046   5383279  11035170   1953965  39366957  34992535   8232433  61042956
         2   2267869   1394635   1503237   2547595   3908356  14379232  18772039   2483792
         3    591433     98132    171773    799236    255356    463344   1051769   3452767
         4     90417     10744      3768    336522         0    205195     34649         0

Yield          87780     81411     97873     89680    380423    406697    372984    492321


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0  14067830  18405395   4622545  22229855         0    650979  23605239    257948
         1  14207676  35073066  13034598  17870430  48275382  48267378  13527678 106170682
         2   4055734   1934863   5344551   1672193   9876691   4348178   5122765   1757902
         3    600474    746292    640153    579737   6293574    775447    914528   2702989
         4    181292    261634    401742   1710235   2328003    113828    820845   1121599

Yield         220066    376987    178362    247966    499686    407424    286113    581619


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0  33708355  24919743    340724  29761402         0   7535064   2497481       285
         1   6645831   9222814  29231384  18365065  15285316   1656039   8397645   2309856
         2  35101586   2011641   4808334   3155998   3296090   1287300    685562    485471
         3   1905431   3454833    685307    198171   1094123    164829    271741     31729
         4    301298    795490   1230935    459287    415168    515613    249436     91871

Yield         506445    261940    273480    234252    162661     58422     77882     23887


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0         0         0         2    263157       369         0      5339         0
         1   1382408   8975388   4657259   3686788   4457808    666732     43411   2042814
         2    264773    652859   2075550    180188   1581419   5493864    235420    395498
         3     56476    107400    404207     14234    355530    352147   1074879    101897
         4     29395     30111    144411      7596    125456     67067    327297    125184

Yield          16483     90990     88489     29845     76706     95914     43055     25480


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0    176496         0       648         0         1       116      3942     11715
         1   9720013   8502697    403573  27043375    720615   6958972  26654047   3027744
         2   3261738   1967967   2473292    413864   7539062    910190   2170000   5516331
         3    383138    267113    237705    576982    300460   4318569    470096   1116381
         4    183130    154986    245721    145164   1360805    213633   1322584   2650367

Yield         137976    119697     46908    204511    112208    145579    304897    182528
Species: S.sandeel  



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0     75900     50000         0  13262700  41224100   1946600     71700  43420000
         1   6214900  11937500  16557000  19768800  61612900  21228100  38007100  13801000
         2   3939900   2740200  16863400   5622600  17333400  24822500  13312200  13611000
         3    496500   3008000   1913500   6308400   1917700   4625500   4369400   2581000
         4   2281300   1544100   1673800   1822300   1339000   2125700    497700   1271000

Yield         118670    162704    316414    314952    665810    481048    420808    375286


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0   7370939  11606857         0   9722922    132279    212786         0       740
         1  64476719   2513664  64469643   8763255  59509204   7205597   2402363  75746699
         2   7075614  38250345   2025167  39051276   9286116  30903056  10553073   7712159
         3   3788290   1566883  11955011   4126765   2240161   1469517  20549388   1631135
         4   2121916    386387    428130    488252     57834    225862   2904617   5740372

Yield         537998    455491    569182    532829    465159    415769    518102    536102


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0    603616  13141163    141246   2424702         0     29829  11329626      9744
         1  21875037  31555764  65194799   5104680  28992735  45940271  16862500  67551527
         2  17352287   9192561  10547180  13366677   3851206  10796898  19733306   3273641
